chr	coord	gene_name	refseqID	rel_location	utr5_st	utr5_end	cds_st	cds_end	utr3_st	utr3_end	utr5_size	cds_size	utr3_size
chr1	981181	AGRN	ENST00000379370.2	1.42440534376018	2654	2605	2604	-3533	-3534	-4668	49	6137	1134
chr1	6282924	ICMT	ENST00000343813.5	2.57010547980448	3099	3071	3070	2216	2215	-1671	28	854	3886
chr1	6683668	PHF13	ENST00000377648.4	2.82262103505843	3255	2874	2873	1971	1970	-425	381	902	2395
chr1	25169225	CLIC4	ENST00000374379.4	2.53055801594331	2755	2559	2558	1797	1796	-1590	196	761	3386
chr1	25683294	TMEM50A	ENST00000374358.4	1.79746835443038	930	378	377	-96	-97	-1752	552	473	1655
chr1	33480153	AK2	ENST00000354858.6	1.65	631	468	467	-252	-253	-389	163	719	136
chr1	33480153	AK2	ENST00000373449.2	1.66952789699571	509	468	467	-231	-232	-3076	41	698	2844
chr1	33480153	AK2	ENST00000467905.1	1.66952789699571	525	468	467	-231	-232	-354	57	698	122
chr1	33480153	AK2	ENST00000480134.1	1.92786069651741	421	373	372	-29	-30	-389	48	401	359
chr1	33480153	AK2	ENST00000548033.1	1.59685863874346	353	342	341	-231	-232	-582	11	572	350
chr1	33480154	AK2	ENST00000354858.6	1.64861111111111	630	467	466	-253	-254	-390	163	719	136
chr1	33480154	AK2	ENST00000373449.2	1.66809728183119	508	467	466	-232	-233	-3077	41	698	2844
chr1	33480154	AK2	ENST00000467905.1	1.66809728183119	524	467	466	-232	-233	-355	57	698	122
chr1	33480154	AK2	ENST00000480134.1	1.92537313432836	420	372	371	-30	-31	-390	48	401	359
chr1	33480154	AK2	ENST00000548033.1	1.59511343804538	352	341	340	-232	-233	-583	11	572	350
chr1	35649694	SFPQ	ENST00000357214.5	2.23818897637795	2585	2487	2486	363	362	-1161	98	2123	1523
chr1	36068933	PSMB2	ENST00000373237.3	1.89273927392739	952	541	540	-65	-66	-1748	411	605	1682
chr1	40030820	PABPC4	ENST00000372856.3	1.63449367088608	2002	1203	1202	-693	-694	-1013	799	1895	319
chr1	40030820	PABPC4	ENST00000372857.3	1.62170542635659	1995	1203	1202	-732	-733	-1052	792	1934	319
chr1	40030820	PABPC4	ENST00000372858.3	1.60665658093797	1652	1203	1202	-780	-781	-1100	449	1982	319
chr1	40030820	PABPC4	ENST00000372862.3	1.65097402597403	1504	1203	1202	-645	-646	-965	301	1847	319
chr1	43167955	YBX1	ENST00000321358.7	2.8375	1448	1310	1309	335	334	-65	138	974	399
chr1	43392397	SLC2A1	ENST00000426263.3	2.18975903614458	1972	1794	1793	315	314	-1345	178	1478	1659
chr1	43392398	SLC2A1	ENST00000426263.3	2.18915662650602	1971	1793	1792	314	313	-1346	178	1478	1659
chr1	44072026	PTPRF	ENST00000359947.4	1.62875611460517	3938	3599	3598	-2125	-2126	-3788	339	5723	1662
chr1	44072026	PTPRF	ENST00000372413.3	1.62699666491136	3617	3572	3571	-2125	-2126	-3794	45	5696	1668
chr1	44072026	PTPRF	ENST00000372414.3	1.62875611460517	3644	3599	3598	-2125	-2126	-3794	45	5723	1668
chr1	44072026	PTPRF	ENST00000422171.2	1.43225466982373	1838	1643	1642	-2158	-2159	-2997	195	3800	838
chr1	44072026	PTPRF	ENST00000438120.1	1.62699666491136	3897	3572	3571	-2125	-2126	-2479	325	5696	353
chr1	53493672	SCP2	ENST00000371509.4	1.75066137566138	1245	1135	1134	-377	-378	-643	110	1511	265
chr1	53493672	SCP2	ENST00000371514.3	1.77068126520681	1434	1267	1266	-377	-378	-1376	167	1643	998
chr1	53493672	SCP2	ENST00000407246.2	1.76017811704835	1305	1195	1194	-377	-378	-933	110	1571	555
chr1	53493672	SCP2	ENST00000408941.3	1.30555555555556	137	55	54	-125	-126	-1160	82	179	1034
chr1	53493672	SCP2	ENST00000430330.2	1.10874704491726	138	46	45	-377	-378	-799	92	422	421
chr1	53493672	SCP2	ENST00000435345.2	1.12731481481481	107	55	54	-377	-378	-786	52	431	408
chr1	53493672	SCP2	ENST00000488965.1	1.30555555555556	101	55	54	-125	-126	-3824	46	179	3698
chr1	53493672	SCP2	ENST00000528311.1	1.73090649536046	1319	1024	1023	-377	-378	-576	295	1400	198
chr1	53516453	SCP2	ENST00000371509.4	2.28947368421053	1699	1589	1588	77	76	-189	110	1511	265
chr1	53516453	SCP2	ENST00000371514.3	2.07707707707708	1888	1721	1720	77	76	-922	167	1643	998
chr1	53516453	SCP2	ENST00000407246.2	2.13848920863309	1759	1649	1648	77	76	-479	110	1571	555
chr1	53516453	SCP2	ENST00000408941.3	2.19227053140097	461	379	378	199	198	-836	82	179	1034
chr1	53516453	SCP2	ENST00000430330.2	2.1824644549763	592	500	499	77	76	-345	92	422	421
chr1	53516453	SCP2	ENST00000435345.2	2.18826405867971	561	509	508	77	76	-332	52	431	408
chr1	53516453	SCP2	ENST00000488965.1	2.77588537442552	3096	3050	3049	2870	2869	-829	46	179	3698
chr1	53516453	SCP2	ENST00000528311.1	2.38693467336683	1773	1478	1477	77	76	-122	295	1400	198
