chr	coord	gene_name	refseqID	rel_location	utr5_st	utr5_end	cds_st	cds_end	utr3_st	utr3_end	utr5_size	cds_size	utr3_size
chr1	878151	SAMD11	ENST00000342066.3	1.62414467253177	1359	1277	1276	-769	-770	-1191	82	2045	421
chr1	879955	NOC2L	ENST00000327044.6	2.24285714285714	2418	2369	2368	119	118	-371	49	2249	489
chr1	934375	HES4	ENST00000304952.6	2.67368421052632	867	730	729	64	63	-31	137	665	94
chr1	934375	HES4	ENST00000428771.2	2.65979381443299	1006	808	807	64	63	-33	198	743	96
chr1	934375	HES4	ENST00000484667.2	2.71910112359551	641	634	633	64	63	-25	7	569	88
chr1	934423	HES4	ENST00000304952.6	2.16842105263158	819	682	681	16	15	-79	137	665	94
chr1	934423	HES4	ENST00000428771.2	2.16494845360825	958	760	759	16	15	-81	198	743	96
chr1	934423	HES4	ENST00000484667.2	2.17977528089888	593	586	585	16	15	-73	7	569	88
chr1	1152490	SDF4	ENST00000263741.7	2.75778078484438	1899	1607	1606	560	559	-179	292	1046	738
chr1	1152490	SDF4	ENST00000360001.6	2.66556291390728	1753	1491	1490	402	401	-202	262	1088	603
chr1	1167317	SDF4	ENST00000263741.7	0.324232081911263	94	-198	-199	-1245	-1246	-1984	292	1046	738
chr1	1167317	SDF4	ENST00000360001.6	0.247148288973384	64	-198	-199	-1287	-1288	-1891	262	1088	603
chr1	1168673	B3GALT6	ENST00000379198.2	2.01410039481105	1044	1015	1014	25	24	-1748	29	989	1772
chr1	1169971	B3GALT6	ENST00000379198.2	2.74619289340102	2342	2313	2312	1323	1322	-450	29	989	1772
chr1	1190426	UBE2J2	ENST00000347370.2	2.12179984484096	1254	781	780	157	156	-1132	473	623	1288
chr1	1190426	UBE2J2	ENST00000348298.7	2.52684563758389	1135	781	780	157	156	-141	354	623	297
chr1	1190426	UBE2J2	ENST00000349431.6	2.21418826739427	1156	937	936	157	156	-576	219	779	732
chr1	1190426	UBE2J2	ENST00000400929.2	2.72018348623853	995	781	780	157	156	-61	214	623	217
chr1	1190513	UBE2J2	ENST00000347370.2	2.05430566330489	1167	694	693	70	69	-1219	473	623	1288
